TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
USDCB,D,20200201,000000,63.1385000,63.1385000,63.1385000,63.1385000,0
USDCB,D,20200204,000000,63.9091000,63.9091000,63.9091000,63.9091000,0
USDCB,D,20200205,000000,63.4342000,63.4342000,63.4342000,63.4342000,0
USDCB,D,20200206,000000,63.1742000,63.1742000,63.1742000,63.1742000,0
USDCB,D,20200207,000000,62.7977000,62.7977000,62.7977000,62.7977000,0
USDCB,D,20200208,000000,63.4720000,63.4720000,63.4720000,63.4720000,0
USDCB,D,20200211,000000,63.7708000,63.7708000,63.7708000,63.7708000,0
USDCB,D,20200212,000000,63.9490000,63.9490000,63.9490000,63.9490000,0
USDCB,D,20200213,000000,63.0470000,63.0470000,63.0470000,63.0470000,0
USDCB,D,20200214,000000,63.6016000,63.6016000,63.6016000,63.6016000,0
USDCB,D,20200215,000000,63.4536000,63.4536000,63.4536000,63.4536000,0
USDCB,D,20200218,000000,63.3085000,63.3085000,63.3085000,63.3085000,0
USDCB,D,20200219,000000,63.7698000,63.7698000,63.7698000,63.7698000,0
USDCB,D,20200220,000000,63.6873000,63.6873000,63.6873000,63.6873000,0
USDCB,D,20200221,000000,63.7413000,63.7413000,63.7413000,63.7413000,0
USDCB,D,20200222,000000,64.3008000,64.3008000,64.3008000,64.3008000,0
USDCB,D,20200226,000000,64.9213000,64.9213000,64.9213000,64.9213000,0
USDCB,D,20200227,000000,65.5177000,65.5177000,65.5177000,65.5177000,0
USDCB,D,20200228,000000,65.6097000,65.6097000,65.6097000,65.6097000,0
USDCB,D,20200229,000000,66.9909000,66.9909000,66.9909000,66.9909000,0
USDCB,D,20200303,000000,66.3274000,66.3274000,66.3274000,66.3274000,0
USDCB,D,20200304,000000,66.4437000,66.4437000,66.4437000,66.4437000,0
USDCB,D,20200305,000000,66.0784000,66.0784000,66.0784000,66.0784000,0
USDCB,D,20200306,000000,66.1854000,66.1854000,66.1854000,66.1854000,0
USDCB,D,20200307,000000,67.5175000,67.5175000,67.5175000,67.5175000,0
USDCB,D,20200311,000000,72.0208000,72.0208000,72.0208000,72.0208000,0
USDCB,D,20200312,000000,71.4720000,71.4720000,71.4720000,71.4720000,0
USDCB,D,20200313,000000,74.0274000,74.0274000,74.0274000,74.0274000,0
USDCB,D,20200314,000000,73.1882000,73.1882000,73.1882000,73.1882000,0
USDCB,D,20200317,000000,74.1262000,74.1262000,74.1262000,74.1262000,0
USDCB,D,20200318,000000,73.8896000,73.8896000,73.8896000,73.8896000,0
USDCB,D,20200319,000000,77.2131000,77.2131000,77.2131000,77.2131000,0
USDCB,D,20200320,000000,80.1570000,80.1570000,80.1570000,80.1570000,0
USDCB,D,20200321,000000,78.0443000,78.0443000,78.0443000,78.0443000,0
USDCB,D,20200324,000000,80.8815000,80.8815000,80.8815000,80.8815000,0
USDCB,D,20200325,000000,78.8493000,78.8493000,78.8493000,78.8493000,0
USDCB,D,20200326,000000,77.7928000,77.7928000,77.7928000,77.7928000,0
USDCB,D,20200327,000000,78.7223000,78.7223000,78.7223000,78.7223000,0
USDCB,D,20200328,000000,77.7325000,77.7325000,77.7325000,77.7325000,0
